,contact?,point_of_contact,lead_author,lead_aff,anchor_author,email_subject,email_message,pub_title,pub_url,published_by,funded_by,cites,pub_snippet,included_adipose,included_bone,included_cells,included_evboost,included_exosome,included_media,included_thesis,included_umbilical_cord
0,No,Eleftheria Michalaki,Eleftheria Michalaki,"Parker H. Petit Institute for Bioengineering and Bioscience Georgia Institute of Technology 315 Ferst Dr. NW, Atlanta, GA 30332  USA",J. Brandon Dixon,We appreciate your Microcirculation paper,"Good Day Dr. Michalaki, I found your 2022 paper - ""Lentiviral overexpression of
            <scp>VEGFC</scp>
            ... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ","Lentiviral overexpression of
            <scp>VEGFC</scp>
            in transplanted
            <scp>MSCs</scp>
            leads to resolution of swelling in a mouse tail lymphedema model",https://doi.org/10.1111/micc.12792,Microcirculation,National Institutes of Health | Florida State University | Florida Agricultural and Mechanical University | National Science Foundation | ,0,"Dysfunction of the lymphatic system following injury, disease, or cancer treatment can lead 
to lymphedema, a debilitating condition with no cure. Despite the various physical therapy ...",0,0,0,0,0,0,0,0
0,No,Angela C. Jimenez,Angela C. Jimenez,"Wallace H. Coulter Department of Biomedical Engineering at Georgia Tech and Emory University, Georgia Institute of Technology, Atlanta, Georgia, USA",Krishnendu Roy,We appreciate your Cytotherapy paper,"Good Day Dr. Jimenez, I found your 2022 paper - ""Longitudinal two-dimensional gas chromatography mass spectrometry as a... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Longitudinal two-dimensional gas chromatography mass spectrometry as a non-destructive at-line monitoring tool during cell manufacturing identifies volatile features correlative to cell product quality,https://doi.org/10.1016/j.jcyt.2022.06.001,Cytotherapy,National Institutes of Health | Florida State University | Florida Agricultural and Mechanical University | National Science Foundation | ,0,"... Human BM-derived MSCs were acquired as a cryopreserved passage two product from 
RoosterBio. CT-derived MSCs were acquired from collaborators at Duke University and ...",0,0,0,0,0,0,0,0
0,No,Priyanka Priyadarshani,Priyanka Priyadarshani,"School of Chemical, Materials, and Biomedical Engineering, University of Georgia",Luke J. Mortensen,We appreciate your bioRxiv paper,"Good Day Dr. Priyadarshani, I found your 2022 paper - ""UNDESRTANDING MESENCHYMAL STEM CELL IMMUNE POTENCY: A MORPHOLOMIC AND ... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",UNDESRTANDING MESENCHYMAL STEM CELL IMMUNE POTENCY: A MORPHOLOMIC AND LIPIDOMIC PERSPECTIVE,https://doi.org/10.1101/2022.05.25.493514,bioRxiv,National Institutes of Health | Florida State University | Florida Agricultural and Mechanical University | National Science Foundation | ,0,"... were obtained from RoosterBio Inc. Cells were expanded once in RoosterBio expansion media 
in ... Depending on conditions to be tested cells were either experimented on in RoosterBio ...",0,0,0,0,0,1,0,0
0,No,Hang-soo Park,Hang-soo Park,The University of Chicago,Ayman Al-Hendy,We appreciate your Research Square paper,"Good Day Dr. Park, I found your 2022 paper - ""Comparison of the therapeutic effects between stem cells and exosomes ... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Comparison of the therapeutic effects between stem cells and exosomes in primary ovarian insufficiency,https://doi.org/10.21203/rs.3.rs-2151593/v1,Research Square,National Institutes of Health | Florida State University | Florida Agricultural and Mechanical University | National Science Foundation | ,0,"Background: Primary ovarian insu ciency (POI) refers to the loss of ovarian function under 
the age of 40 and resultsin amenorrhea and infertility. Our previous studies have shown that ...",0,0,0,0,1,0,0,0
0,No,Yue Yuan,Yue Yuan,"Division of MR Research, The Johns Hopkins University School of Medicine, Baltimore, MD, USA",Jeff W. M. Bulte,We appreciate your Nature Biomedical Engineering paper,"Good Day Dr. Yuan, I found your 2022 paper - ""In vivo tracking of unlabelled mesenchymal stromal cells by mannose-we... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",In vivo tracking of unlabelled mesenchymal stromal cells by mannose-weighted chemical exchange saturation transfer MRI,https://doi.org/10.1038/s41551-021-00822-w,Nature Biomedical Engineering,U.S. Department of Health & Human Services | National Institutes of Health | Pearl and Yueh-Heng Yang Foundation | ,4,"The tracking of the in vivo biodistribution of transplanted human mesenchymal stromal cells (hMSCs) 
relies on reporter genes or on the addition of exogenous imaging agents. However, ...",0,0,0,0,0,0,0,0
0,No,C. Yue,C. Yue,"Department of Periodontics, School of Dentistry, Virginia Commonwealth University, Richmond, VA, USA",Z. Lin,We appreciate your Journal of Dental Research paper,"Good Day Dr. Yue, I found your 2022 paper - ""Human Bone Marrow Stromal Cell Exosomes Ameliorate Periodontitis... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Human Bone Marrow Stromal Cell Exosomes Ameliorate Periodontitis,https://doi.org/10.1177/00220345221084975,Journal of Dental Research,National Cancer Institute | National Institute of Dental and Craniofacial Research | ,2,"Human bone marrow stromal cell (hBMSC)-derived exosomes are promising therapeutics 
for inflammatory diseases due to their unique microRNA (miRNA) and protein cargos. ...",0,1,0,0,1,0,0,0
0,No,Chukwuma E. Nweke,Chukwuma E. Nweke,Department of Biomedical Engineering University of Michigan  Ann Arbor Michigan USA,Jan P. Stegemann,We appreciate your Journal of Biomedical Materials Research Part B: Applied Biomaterials paper,"Good Day Dr. Nweke, I found your 2022 paper - ""Fabrication and characterization of osteogenic function of progenitor
... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ","Fabrication and characterization of osteogenic function of progenitor
            <scp>cell-laden</scp>
            gelatin microcarriers",https://doi.org/10.1002/jbm.b.34998,Journal of Biomedical Materials Research Part B: Applied Biomaterials,National Institute of Arthritis and Musculoskeletal and Skin Diseases | ,0,"... Human bone marrow-derived mesenchymal stem cells (MSC, RoosterBio, Frederick MD) 
were expanded to passage 7 in defined growth medium (RoosterNourish(tm), RoosterBio, ...",0,1,1,0,0,1,0,0
0,No,Jun Ochiai,Jun Ochiai,"Emmaus Life Sciences, Inc, Torrance CA USA",Joan Oliva,We appreciate your Frontiers in Cell and Developmental Biology paper,"Good Day Dr. Ochiai, I found your 2022 paper - ""Posology and Serum-/Xeno-Free Engineered Adipose Stromal Cells Cell Sh... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Posology and Serum-/Xeno-Free Engineered Adipose Stromal Cells Cell Sheets,https://doi.org/10.3389/fcell.2022.873603,Frontiers in Cell and Developmental Biology,National Institute of Arthritis and Musculoskeletal and Skin Diseases | ,0,"Well-characterized adipose stem cells and chemically defined culture media are important 
factors that control the production of the cell sheet, used in translational medicine. In this study...",1,0,1,0,0,0,0,0
0,No,Daniel Sok,Daniel Sok,"Emory University School of Medicine, Atlanta, Georgia, USA",Nick J. Willett,We appreciate your The American Journal of Sports Medicine paper,"Good Day Dr. Sok, I found your 2022 paper - ""NSAIDs Reduce Therapeutic Efficacy of Mesenchymal Stromal Cell Therapy... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",NSAIDs Reduce Therapeutic Efficacy of Mesenchymal Stromal Cell Therapy in a Rodent Model of Posttraumatic Osteoarthritis,https://doi.org/10.1177/03635465221083610,The American Journal of Sports Medicine,National Institute of Arthritis and Musculoskeletal and Skin Diseases | ,0,"Background: Intra-articular injections of human mesenchymal stromal cells (hMSCs) have 
shown promise in slowing cartilage degradation in posttraumatic osteoarthritis (PTOA). ...",0,0,0,0,0,0,0,0
0,No,"Vasiliki ""Aliki"" Kolliopoulos","Vasiliki ""Aliki"" Kolliopoulos",University of Illinois Urbana-Champaign,Brendan A.C. Harley,We appreciate your SSRN Electronic Journal paper,"Good Day Dr. Kolliopoulos, I found your 2022 paper - ""Soluble Extracts from Amnion and Chorion Membranes Improve hMSC Osteog... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Soluble Extracts from Amnion and Chorion Membranes Improve hMSC Osteogenic Response in a Mineralized Collagen Scaffold,https://doi.org/10.2139/ssrn.4074835,SSRN Electronic Journal,National Institute of Arthritis and Musculoskeletal and Skin Diseases | ,0,"Craniomaxillofacial (CMF) bone injuries present a major surgical challenge and cannot heal 
naturally due to their large size and complex topography. Approximately 26% of injured Iraq ...",0,1,0,0,0,0,0,0
0,No,Rebecca S. Schneider,Rebecca S. Schneider,School of Chemical and Biomolecular Engineering Georgia Institute of Technology  Atlanta GA 30318 USA,Andrés J. García,We appreciate your Advanced Healthcare Materials paper,"Good Day Dr. Schneider, I found your 2022 paper - ""High-Throughput On-Chip Human Mesenchymal Stromal Cell Potency Predict... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",High-Throughput On-Chip Human Mesenchymal Stromal Cell Potency Prediction,https://doi.org/10.1002/adhm.202101995,Advanced Healthcare Materials,National Science Foundation | ,1,"... RoosterBio cell lines were cultured with RoosterNourish-MSC (KT-001, RoosterBio Inc.). 
LONZA cell lines were cultured with MSCGM BulletKit (PT-3001, LONZA). All cells were ...",0,0,1,0,0,1,0,0
0,No,Amanda L. Scheiber,Amanda L. Scheiber,"Department of Orthopaedics, University of Maryland School of Medicine, Baltimore MD USA",Satoru Otsuru,We appreciate your International Journal of Molecular Sciences paper,"Good Day Dr. Scheiber, I found your 2022 paper - ""Culture Condition of Bone Marrow Stromal Cells Affects Quantity and Qu... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Culture Condition of Bone Marrow Stromal Cells Affects Quantity and Quality of the Extracellular Vesicles,https://doi.org/10.3390/ijms23031017,International Journal of Molecular Sciences,Maryland Stem Cell Research Fund | National Institute of Arthritis and Musculoskeletal and Skin Diseases | ,1,"Extracellular vesicles (EVs) released by bone marrow stromal cells (BMSCs) have been 
shown to act as a transporter of bioactive molecules such as RNAs and proteins in the ...",0,1,0,0,1,0,0,0
0,No,Bram G. Soliman,Bram G. Soliman,Light Activated Biomaterials (LAB) Group Department of Orthopaedic Surgery and Musculoskeletal Medicine University of Otago Christchurch  Christchurch 8011 New Zealand,Khoon S. Lim,We appreciate your Advanced Healthcare Materials paper,"Good Day Dr. Soliman, I found your 2022 paper - ""Development and Characterization of Gelatin-Norbornene Bioink to Under... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Development and Characterization of Gelatin-Norbornene Bioink to Understand the Interplay between Physical Architecture and Micro-Capillary Formation in Biofabricated Vascularized Constructs,https://doi.org/10.1002/adhm.202101873,Advanced Healthcare Materials,Health Research Council of New Zealand | ,6,"... Human bone marrow-derived mesenchymal stem cells (MSCs) were obtained from 
RoosterBio. a-MEM was purchased from Gibco. Basic fibroblast growth factor, anti-CD31 and a-...",0,1,0,0,0,0,0,0
0,No,Matthew L Bedell,Matthew L Bedell,"Department of Bioengineering, Rice University, Houston, TX, USA",Antonios G Mikos,We appreciate your Biofabrication paper,"Good Day Dr. Bedell, I found your 2022 paper - ""Human gelatin-based composite hydrogels for osteochondral tissue engin... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ","Human gelatin-based composite hydrogels for osteochondral tissue engineering and their adaptation into bioinks for extrusion, inkjet, and digital light processing bioprinting",https://doi.org/10.1088/1758-5090/ac8768,Biofabrication,National Institutes of Health | National Institute of Dental and Craniofacial Research | U.S. Army Medical Command | Baylor College of Medicine Medical Science Training Program | National Science Foundation Graduate Research Fellowship Program | ,1,"... For all other cell culture experiments, bm-hMSCs were expanded using RoosterBio high-volume 
cell culture kits and cells. Cells were either cultured in T-225 flasks or CS-2 CellStack ...",0,1,0,0,0,1,0,0
0,No,Karina Torres-Castro,Karina Torres-Castro,"Department of Electrical & Computer Engineering, University of Virginia, Charlottesville, Virginia-22904, USA",Nathan S. Swami,We appreciate your The Analyst paper,"Good Day Dr. Torres-Castro, I found your 2022 paper - ""Biophysical quantification of reorganization dynamics of human pancrea... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Biophysical quantification of reorganization dynamics of human pancreatic islets during co-culture with adipose-derived stem cells,https://doi.org/10.1039/d2an00222a,The Analyst,University of Virginia | Air Force Office of Scientific Research | National Cancer Institute | ,0,"Islet transplantation is a potential therapy for type 1 diabetes, but it is expensive due to limited 
pancreas donor numbers and the variability in islet quality. The latter is often addressed by ...",1,0,0,0,0,0,0,0
0,No,Robert C.H. Gresham,Robert C.H. Gresham,"Department of Orthopedic Surgery, School of Medicine, University of California Davis Health, Sacramento, California, USA.",J. Kent Leach,We appreciate your Tissue Engineering Part C: Methods paper,"Good Day Dr. Gresham, I found your 2022 paper - ""Characterization of Induction and Targeting of Senescent Mesenchymal S... "" - researching recent applications of RoosterBio products and expertise. Thank you for your fascinating paper. We compiled there published articles as a map and table, finding an increasing number exploring exosomes. You are invited to explore the map here: https://jesnyder.github.io/roosterAppreciates/ Would you join a short meeting to discuss your research findings and how we could help in your next steps? Please suggest a few times and we will accomodate. Continued success to you and your team. Best Regards, Jess ",Characterization of Induction and Targeting of Senescent Mesenchymal Stromal Cells,https://doi.org/10.1089/ten.tec.2022.0048,Tissue Engineering Part C: Methods,University of Virginia | Air Force Office of Scientific Research | National Cancer Institute | ,0,"Mesenchymal stromal cells (MSCs) from older donors have limited potential for bone tissue 
formation compared with cells from younger donors, and cellular senescence has been ...",0,1,0,0,0,0,0,0
